what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1294223674010
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1294223674010
os,sysinfo,,,"win32",1294223674014
arch,sysinfo,,,"x86",1294223674014
ws,sysinfo,,,"win32",1294223674014
locale,sysinfo,,,"zh_CN",1294223674014
processors,sysinfo,,,"4",1294223674014
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1294223674014
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1294223674014
java.specification.name,sysinfo,,,"Java Platform API Specification",1294223674014
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294223674014
java.specification.version,sysinfo,,,"1.6",1294223674014
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1294223674014
java.version,sysinfo,,,"1.6.0_22",1294223674014
java.vm.info,sysinfo,,,"mixed mode, sharing",1294223674014
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1294223674014
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1294223674014
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294223674014
java.vm.specification.version,sysinfo,,,"1.0",1294223674014
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1294223674014
java.vm.version,sysinfo,,,"17.1-b03",1294223674014
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1294223677135
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1294223677158
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1294223677210
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1294223680722
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1294223680738
closed,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1294223680742
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1294223684067
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1294223684360
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1294223684616
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1294223684616
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1294223684616
stopped,bundle,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.adt",1294223684616
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1294223684616
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1294223684616
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1294223684616
